Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,7,4,0.9375,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4,0.22549,1,Adjacency List
DFS Recursive,0,4,7,0.8125,4->3->2->1->5->6->10->9->13->14->15->11->7,0.215686,1,Adjacency List
DFS Recursive,0,7,4,0.9375,7->3->2->1->5->6->10->9->13->14->15->11->12->8->4,0.22549,1,Matrix
DFS Recursive,0,4,7,0.4375,4->3->2->1->5->6->7,0.205882,1,Matrix
DFS Recursive,0,14,3,0.6875,14->13->9->5->1->2->6->10->11->7->3,0.245098,1,Adjacency List
DFS Recursive,0,3,14,0.5625,3->2->1->5->6->10->9->13->14,0.215686,1,Adjacency List
DFS Recursive,0,14,3,0.5625,14->10->6->2->1->5->9->13->3,0.235294,1,Matrix
DFS Recursive,0,3,14,0.875,3->2->1->5->6->7->8->4->12->11->10->9->13->14,0.196078,1,Matrix
DFS Recursive,0,13,15,0.5625,13->9->5->1->2->6->10->14->15,0.254902,1,Adjacency List
DFS Recursive,0,15,13,0.1875,15->14->13,0.245098,1,Adjacency List
DFS Recursive,0,13,15,0.9375,13->9->5->1->2->3->4->8->7->6->10->11->12->16->15,0.215686,1,Matrix
DFS Recursive,0,15,13,0.6875,15->11->7->3->2->1->5->6->10->9->13,0.245098,1,Matrix
DFS Recursive,0,7,10,0.4375,7->3->2->1->5->6->10,0.235294,1,Adjacency List
DFS Recursive,0,10,7,0.6875,10->6->2->1->5->9->13->14->15->11->7,0.245098,1,Adjacency List
DFS Recursive,0,7,10,0.4375,7->3->2->1->5->6->10,0.235294,1,Matrix
DFS Recursive,0,10,7,0.6875,10->6->2->1->5->9->13->14->15->11->7,0.245098,1,Matrix
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Adjacency List
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Adjacency List
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Matrix
DFS Recursive,0,13,13,0.0625,13,0,0.0625,Matrix
DFS Recursive,0,2,4,0.8125,2->1->5->6->10->9->13->14->15->11->7->3->4,0.22549,1,Adjacency List
DFS Recursive,0,4,2,0.1875,4->3->2,0.215686,1,Adjacency List
DFS Recursive,0,2,4,0.4375,2->1->5->6->7->3->4,0.186275,1,Matrix
DFS Recursive,0,4,2,0.1875,4->3->2,0.196078,1,Matrix
DFS Recursive,0,11,4,1,11->7->3->2->1->5->6->10->9->13->14->15->16->12->8->4,0.22549,1,Adjacency List
DFS Recursive,0,4,11,0.75,4->3->2->1->5->6->10->9->13->14->15->11,0.205882,1,Adjacency List
DFS Recursive,0,11,4,1,11->7->3->2->1->5->6->10->9->13->14->15->16->12->8->4,0.22549,1,Matrix
DFS Recursive,0,4,11,0.625,4->3->2->1->5->6->7->8->12->11,0.196078,1,Matrix
DFS Recursive,0,2,9,0.375,2->1->5->6->10->9,0.235294,1,Adjacency List
DFS Recursive,0,9,2,0.25,9->5->1->2,0.245098,1,Adjacency List
