Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,10,3,12,10->6->2->1->5->9->13->14->15->11->7->3,26,16,Matrix
DFS Recursive,0,3,10,11,3->2->1->5->6->7->8->4->12->11->10,20,16,Matrix
DFS Recursive,0,8,7,14,8->4->3->2->1->5->6->10->9->13->14->15->11->7,22,16,Adjacency List
DFS Recursive,0,7,8,14,7->3->2->1->5->6->10->9->13->14->15->11->12->8,22,16,Adjacency List
DFS Recursive,0,8,7,8,8->4->3->2->1->5->6->7,21,16,Matrix
DFS Recursive,0,7,8,14,7->3->2->1->5->6->10->9->13->14->15->11->12->8,22,16,Matrix
DFS Recursive,0,5,14,8,5->1->2->6->10->9->13->14,24,16,Adjacency List
DFS Recursive,0,14,5,4,14->13->9->5,25,16,Adjacency List
DFS Recursive,0,5,14,12,5->1->2->3->4->8->7->6->10->9->13->14,20,16,Matrix
DFS Recursive,0,14,5,6,14->10->6->2->1->5,23,16,Matrix
DFS Recursive,0,7,13,9,7->3->2->1->5->6->10->9->13,24,16,Adjacency List
DFS Recursive,999,13,7,11,13->9->5->1->2->6->10->14->15->11->7,26,16,Adjacency List
DFS Recursive,0,7,13,9,7->3->2->1->5->6->10->9->13,22,16,Matrix
DFS Recursive,0,13,7,9,13->9->5->1->2->3->4->8->7,22,16,Matrix
DFS Recursive,0,8,4,2,8->4,22,16,Adjacency List
DFS Recursive,0,4,8,14,4->3->2->1->5->6->10->9->13->14->15->11->7->8,21,16,Adjacency List
DFS Recursive,0,8,4,2,8->4,22,16,Matrix
DFS Recursive,0,4,8,8,4->3->2->1->5->6->7->8,19,16,Matrix
DFS Recursive,0,6,1,3,6->2->1,23,16,Adjacency List
DFS Recursive,0,1,6,3,1->2->6,23,16,Adjacency List
DFS Recursive,0,6,1,3,6->2->1,21,16,Matrix
DFS Recursive,0,1,6,7,1->2->3->4->8->7->6,20,16,Matrix
DFS Recursive,0,8,9,9,8->4->3->2->1->5->6->10->9,22,16,Adjacency List
DFS Recursive,0,9,8,14,9->5->1->2->6->10->14->13->15->11->7->3->4->8,25,16,Adjacency List
